brand	from_duplicate	recovered_to
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/04/NT060-DE-Manobra K-Esquema ligaçoes modulo display LCD azul.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/NT060-DE-Manobra K-Esquema ligaçoes modulo display LCD azul.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/3f/THYSSEN SERIE B ESQUEMA - THYSSEN SERIE B.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/THYSSEN SERIE B ESQUEMA - THYSSEN SERIE B.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/6c/NT048-DE-Defeito ligacoes transformador alimentacao travao-s.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/NT048-DE-Defeito ligacoes transformador alimentacao travao-s.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/6c/NT048-DE-Defeito ligacoes transformador alimentacao travao-synergy.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/NT048-DE-Defeito ligacoes transformador alimentacao travao-synergy.pdf
TKE	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/TKE/84/THYSSEN TCI ESQUEMAS II - THYSSEN TCI.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/TKE/THYSSEN TCI ESQUEMAS II - THYSSEN TCI.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/1f/P730D VF Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/P730D VF Field Wiring.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/44/CHLH Single Speed Field wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/CHLH Single Speed Field wiring__fromdup1.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/66/P730D Single Speed Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/P730D Single Speed Field Wiring.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/81/Pvlhd Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/Pvlhd Field Wiring.pdf
Wittur	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/Wittur/e5/P730D Field Wiring.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Wittur/P730D Field Wiring.pdf
