confidence	score	brand	rel	path	positive	negative	snippet
review	7	Sem_Marca	CORREDIÇA.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/CORREDIÇA.PDF	\bELECTRIC(?:AL)? DIAGRAM\b,\bBORNE(?:S)?\b		 HEATED SILL APPLICATION APPLICAZIONE SOGLIA RISCALDATA ANBRINGUNG VON BEHEIZTER SCHWELLE APPLICATION SEUIL CHAUFFÉ STAINLESS STEEL SILL IRON SILL SOGLIA IN ACCIAIO INOX 
review	6	Bucher	450_20_21_01e.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/450_20_21_01e.pdf	\bCONTROL SYSTEM\b		BUCHER HYDRAULICS Beringer Hydraulik AG Industriestrasse 15 CH - 6345 Neuheim System Overview 1.5.0E Orion α P1 1 Introduction 1.1 General Frequency-controlled hydraulic drive with a hydraulic counterweight system is distinguished from conventional hydraulic drive inasmuch as the motor, and thus also the 
review	6	GMV	7.GV_3010P81_10.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/7.GV_3010P81_10.pdf	\bELECTROV[AÁ]LVULA\b		 GRUPO DE VÁLVULAS 3010-EN CON P81 Tornillo 5 Tornillo 8 GRUPO GMV 
review	6	Otis	PACKGVF3to7C.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/PACKGVF3to7C.pdf	\bCONTACTOR(?:ES)?\b		Parts Leaflet APRIL 2005 Page : 1/5 CONTROLLER PACK 220 GVF MLI 3 to 7 COEUR * 10 PACK GVF 3 to 7 C. OTIS *10 - PACK GVF 3 to7 C. CONTROLLER PACK 220 GVF - MLI 3 to 7 COEUR APRIL 2005 Page : 2/5 1 PACK GVF 3 to 7 CŒUR PAR
review	6	Otis	PACKGVF7to9R.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/PACKGVF7to9R.pdf	\bCONTACTOR(?:ES)?\b		Parts Leaflet APRIL 2005 Page : 1/6 CONTROLLER PACK 220 GVF MLI 7 to 9 Radiateur * 10 PACK GVF 7 to 9 R. OTIS *10 - PACK GVF 7 to 9 R. CONTROLLER PACK 220 GVF MLI 7 to 9 RADIATEUR APRIL 2005 Page : 2/6 1 PACK GVF 7 to 9 R. PART or M.L. REF, N° 
review	6	Schindler	58S.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/58S.pdf	\bDOOR DRIVE\b		 Diese Darstellung ist unser geistiges Eigentum. Sie darf ohne unsere Cet ouvrage est notre propriété intellectuelle. Sans notre autorisation This design and information is our intellectual property. It must with- schriftliche Zustimmung weder irgendwie kopiert noch zur Anfer- écrite, il ne peut être ni copié d'une manière quelconque, ni être out our written consent neither be copied in any way nor used tigung des Werkes gebraucht oder Drittpersonen bekannt
review	6	Schindler	IDD replacement V30.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/IDD replacement V30.pdf	\bDOOR DRIVE\b		 IDD Introduction for V30AP Door Drive w/ Motor + Electronic Box 1. General - Traditional motor plus electrical box design for V30AP door drive is phase out and replaced by IDD - This instruction is only used for field replacement and retrofit in the future on existing V30AP door drive w/ motor plus electrical box design Fig. 1 1.1 Main Feature: a) Movable mass: 
review	6	Schindler	K604016E_06.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/K604016E_06.pdf	\bSCHEMATICS\b,\bSCHEMATIC\b,\bCIRCUIT DIAGRAM\b,\bSAFETY CIRCUIT\b	\bmanual\b,\binstallation\b,\bservice\b,\bcommissioning\b	 Miconic TX-GC/10-GC INVENTIO AG Commissioning K 604016 E / 06 1-11.220 COMMISSIONING Authorization: Authored Reviewed Released Lead Office: PD
review	6	Sem_Marca	Bonfiglioli GVX2000.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Bonfiglioli GVX2000.pdf	\bCONTROL SYSTEM\b		 I N V E RT E R GVX2000 INNOVATION IN THE WAKE OF TRADITION BAUART TYPE GEPRÜFT APPROVED TÜV Rheinland Product Safety ® C ® N RI O ET GVX2000 0.55-500 kW WO OM P 
review	6	Sem_Marca	D__BYDIVI~1_LOC_ARS_42_151~1[1].pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/D__BYDIVI~1_LOC_ARS_42_151~1[1].pdf	\bWIRING DIAGRAM\b,\bSAFETY CIRCUIT\b,\bDOOR DRIVE\b	\binstallation\b,\bdatasheet\b	 1 GENERAL INFORMATION ..............................................................................................................................................6 1.1 INTRODUCTION................................................................................................................................................................6 
review	6	Sem_Marca	PMARCHA_3VFMAC6PDSPS_ES_GEN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/PMARCHA_3VFMAC6PDSPS_ES_GEN.pdf	\bCONTACTOR(?:ES)?\b,\bREL[EÉ]\b		PUESTA EN MARCHA - VARIADOR 3VFMAC 6P DSP S PARA MÁQUINA GEARLESS Si el cuadro tiene sistema de rescate automático A.3. Freno Dos opciones : 5.a A REVISIÓN DE CONEXIONES 
review	6	Wittur	70S.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/70S.pdf	\bDOOR DRIVE\b		 Diese Darstellung ist unser geistiges Eigentum. Sie darf ohne unsere Cet ouvrage est notre propriété intellectuelle. Sans notre autorisation This design and information is our intellectual property. It must with- schriftliche Zustimmung weder irgendwie kopiert noch zur Anfer- écrite, il ne peut être ni copié d'une manière quelconque, ni être out our written consent neither be copied in any way nor used tigung des Werkes gebraucht oder Drittpersonen bekanntgege
review	5	MacPuarsa	Nivelador 538 MAC.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Nivelador 538 MAC.pdf	\bBORNE(?:S)?\b,\bKM[0-9A-Z]?\b		Nivelador 538 INDICE GENERAL CAPiTULO. 1 • REQUISITOS PARA SU INSTALACION ... 4 1.1 Especificaciones .. ,. ............. . . ......... 4 CAPiTULO. 2 • PRESENTACION 
review	5	MacPuarsa	PMARCHA_3VFMAC6PDSPS_ES_MP1.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/PMARCHA_3VFMAC6PDSPS_ES_MP1.pdf	\bCONTACTOR(?:ES)?\b,\bREL[EÉ]\b		PUESTA EN MARCHA - VARIADOR 3VFMAC 6P DSP S PARA MÁQUINA MP MaGO 100/125 Si el cuadro tiene sistema de rescate POR A.3. Freno 5.a A REVISIÓN DE CONEXIONES DESCOMPENSACIÓN : 
review	5	MacPuarsa	PMARCHA_3VFMAC6PDSPS_ES_MP2.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/PMARCHA_3VFMAC6PDSPS_ES_MP2.pdf	\bCONTACTOR(?:ES)?\b,\bREL[EÉ]\b		PUESTA EN MARCHA - VARIADOR 3VFMAC 6P DSP S PARA MÁQUINA MP MaGO 175/200 Si el cuadro tiene sistema de rescate POR A.3. Freno 5.a A REVISIÓN DE CONEXIONES DESCOMPENSACIÓN : 
review	5	Sem_Marca	02EQ-EN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/02EQ-EN.pdf	\bWIRING DIAGRAM\b,\bCIRCUIT DIAGRAM\b,\bCONTROL SYSTEM\b	\bmanual\b,\binstallation\b,\bquick start\b	Preface Thank you for choosing DELTA’s high-performance VFD-E Series. The VFD-E Series is manufactured with high-quality components and materials and incorporate the latest microprocessor technology available. Getting Started This quick start will be helpful in the installation and parameter setting of the AC motor drives. To guarantee safe operation of the equipment, read the following safety guidelines before connecting power to the AC motor drives. For detail information, 
review	5	Sem_Marca	450_10_80_06e.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/450_10_80_06e.pdf	\bCIRCUIT DIAGRAM\b		Connecting cable DP for LRV-1 (A) 2.3.6E P 1/1 1. General description: 2. Part numbers: The connection cable connects the pressure switch cable 6 m: 0009013 DP with the elevator controller. 
review	5	Sem_Marca	FU-CO-001.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/FU-CO-001.PDF	\bSCHEMATIC\b	\bguide\b	<< Back @ TECHNICAL BULLETIN Bulletin Number FU-CO-001 P.L.C. CONTROL PANELS TELEMECHANIQUE TSX 17 MICRO PLC This is a brief guide to the basic understanding and fault finding using the on board L.E.D’s which are fitted to all these PLC units. Each panel will contain a main un
review	5	Sem_Marca	Lift Control ekm64.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Lift Control ekm64.pdf	\bBORNE(?:S)?\b,\bREL[EÉ]\b		 Sistema de maniobras para ascensores EKM 64 Versión .003 / 11.08.06 Descripción Parte 1ª DESCRIPCIÓN NO SUJETA A REVISIÓN LIFT CONTROL,S.A. Tel. 93 331 33 44 Fax. 93 432 33 71 liftcontrol@liftcontrol.com htpp://www.liftcontrol.com Versión 03 / 11.08.06 Descripción (parte 1ª ) 
review	4	Schindler	56S.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/56S.pdf	\bDOOR DRIVE\b		 Diese Darstellung ist unser geistiges Eigentum. Sie darf ohne unsere Cet ouvrage est notre propriété intellectuelle. Sans notre autorisation This design and information is our intellectual property. It must with- schriftliche Zustimmung weder irgendwie kopiert noch zur Anfer- écrite, il ne peut être ni copié d'une manière quelconque, ni être out our written consent neither be copied in any way nor used tigung des Werkes gebr
review	4	Schindler	66S.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/66S.pdf	\bDOOR DRIVE\b		 Diese Darstellung ist unser geistiges Eigentum. Sie darf ohne unsere Cet ouvrage est notre propriété intellectuelle. Sans notre autorisation This design and information is our intellectual property. It must with- schriftliche Zustimmung weder irgendwie kopiert noch zur Anfer- écrite, il ne peut être ni copié d'une manière quelconque, ni être out our written consent neither be copied in any way nor used tigung des Werkes gebraucht oder Drittpersonen bekanntgege
review	4	Schindler	K 602737 Interface IVXVF.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/K 602737 Interface IVXVF.pdf	\bSAFETY CIRCUIT\b,\bDOOR DRIVE\b,\bCONTACTOR(?:ES)?\b	\binstallation\b,\bcatalog(?:ue)?\b	 INVENTIO AG Technical Catalog CH–6052 Hergiswil Group: 1–11.100 Interface IVXVF 
review	4	Sem_Marca	CG-CO-001.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/CG-CO-001.pdf	\bCONTROL SYSTEM\b		<< Back @ TECHNICAL BULLETIN Bulletin Number CG-CO-001 C.G.2.A. HYDRAULIC LIFT WITH TURBO 3000 CONTROL SYSTEM FAULT Lift reported to travel on high speed and during deceleration the lift will stop and will not start again. CAUSE Th
review	4	Sem_Marca	Control System Document 7000-serien 400V eng 0911.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Control System Document 7000-serien 400V eng 0911.pdf	\bCONTROL SYSTEM\b		 Control System 7000-series 20091106 © ARITCO 14 54 54 
review	4	Sem_Marca	GT-DO-001.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/GT-DO-001.PDF	\bCONTACTOR(?:ES)?\b		<< Back @ TECHNICAL BULLETIN Bulletin Number GT-DO-001 DEWHURST FL24 - DOOR OPERATOR Fault Noisy door operator caused by electric noise or vibration [hum]. Reduction of Humming Noise 1. For electric vibration noise. Add smoothing components as Dewhurst Instructions II015, Page 7. If necessar, adjust RDB to 
review	4	TKE	manobra cmc 3.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/manobra cmc 3.pdf	\bCONTACTOR(?:ES)?\b		 2 3 COLOCAR LOS PLANaS DE LA CARPET A SEGUN EL ORDEN ESPECIFICADO EN ESTE j,\: MANIOBRA CMC-3 , TRACCION 1V-2 POs. PLANO Ng DESCRlPCttJN POs. PLANO Ng 
