brand,filename,extension,size,sha1,relative_path,absolute_path,origin_hint
CIASA,7D4A 1V ESQUEMA - CIASA.pdf,.pdf,3145378,97b627c6814518def30ab756c375c05cdaa1c01d,CIASA/7D4A 1V ESQUEMA - CIASA.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/7D4A 1V ESQUEMA - CIASA.pdf,organized_or_recovered
CIASA,7M1 1V ESQUEMA - CIASA.pdf,.pdf,1220816,d6f1afa579391d17c4eff1fae9e1be21a711266f,CIASA/7M1 1V ESQUEMA - CIASA.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/7M1 1V ESQUEMA - CIASA.pdf,organized_or_recovered
CIASA,BN 20P 1V RT1 ESQUEMA - CIASA BRAUN.pdf,.pdf,337154,e9cd43368def825a841b1bfeb1a8ecaaf89e48f9,CIASA/BN 20P 1V RT1 ESQUEMA - CIASA BRAUN.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/BN 20P 1V RT1 ESQUEMA - CIASA BRAUN.pdf,organized_or_recovered
CIASA,M-6 1V 2 ESQUEMA - CIASA.pdf,.pdf,1477081,4d21e15e8b6908608b1c2ae33d8df2cde8978264,CIASA/M-6 1V 2 ESQUEMA - CIASA.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/M-6 1V 2 ESQUEMA - CIASA.pdf,organized_or_recovered
CIASA,M5C ESQUEMA - CIASA.pdf,.pdf,3513575,694d9a4fd8ead2d91e0432dd30375119ff85e995,CIASA/M5C ESQUEMA - CIASA.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/M5C ESQUEMA - CIASA.pdf,organized_or_recovered
CIASA,M6 1V ESQUEMA - CIASA.pdf,.pdf,3320683,f0acfb3199455cf742043f68ffbc29968a0947ad,CIASA/M6 1V ESQUEMA - CIASA.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/M6 1V ESQUEMA - CIASA.pdf,organized_or_recovered
CTA,CTA PESACARGAS ESQ - CTA BA89A.pdf,.pdf,32754,6682ad03e3f59829fc574defd77538b303eea24e,CTA/CTA PESACARGAS ESQ - CTA BA89A.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CTA/CTA PESACARGAS ESQ - CTA BA89A.pdf,organized_or_recovered
CTA,CTA vers. 1.01.pdf,.pdf,1607880,ef19d271f8eae4b39fc44de1f39063b17e1caa12,CTA/CTA vers. 1.01.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CTA/CTA vers. 1.01.pdf,organized_or_recovered
CTA,CTA(ESQUEMAS).pdf,.pdf,2176707,1d94c5f4cf8db05d6b36f0152c628647949c511e,CTA/CTA(ESQUEMAS).pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CTA/CTA(ESQUEMAS).pdf,organized_or_recovered
CTA,CTA__dup1.pdf,.pdf,1529408,0d4642800e9bdc18d7d5c5eced44b97192e3bd42,CTA/CTA__dup1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CTA/CTA__dup1.pdf,duplicate_variant
CTA,Cabo de ligação do comando CTA.jpg,.jpg,309647,91e7a14c0fe7ba9d53368292cfe2975b0717c5f7,CTA/Cabo de ligação do comando CTA.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CTA/Cabo de ligação do comando CTA.jpg,organized_or_recovered
Carlos_Silva,CARLOS SILVA HINTS.pdf,.pdf,93902,7563610ee1fdf24ee303518ebc5f3c4929a6660e,Carlos_Silva/CARLOS SILVA HINTS.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Carlos_Silva/CARLOS SILVA HINTS.pdf,organized_or_recovered
Cibes,A5000 Electrical Drawings 2004 CANBUS 2 Floor.pdf,.pdf,2150599,7b9fc02dee01430f423d5a537773d78d85d8876d,Cibes/A5000 Electrical Drawings 2004 CANBUS 2 Floor.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Cibes/A5000 Electrical Drawings 2004 CANBUS 2 Floor.pdf,organized_or_recovered
Cibes,A5000 Electrical Drawings 2007 CANBUS 2 Floor.pdf,.pdf,723648,e7017ea435ba613fa4da74f30941fa8121cc4d76,Cibes/A5000 Electrical Drawings 2007 CANBUS 2 Floor.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Cibes/A5000 Electrical Drawings 2007 CANBUS 2 Floor.pdf,organized_or_recovered
Cibes,A5000 Electrical Drawings 2010 CANBUS 4 Floor (Colston Girls School).pdf,.pdf,601762,7227ef18986a58b7ff631a0a49c89d1a9cb11cfd,Cibes/A5000 Electrical Drawings 2010 CANBUS 4 Floor (Colston Girls School).pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Cibes/A5000 Electrical Drawings 2010 CANBUS 4 Floor (Colston Girls School).pdf,organized_or_recovered
Cibes,A5000 Electrical Drawings Old.pdf,.pdf,4056561,57f66cc183e603984ab57f0ac878f1f098b6052e,Cibes/A5000 Electrical Drawings Old.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Cibes/A5000 Electrical Drawings Old.pdf,organized_or_recovered
Cibes,A5000 Set-up Without Pressing Alarm.pdf,.pdf,84089,a11bf0d2458183e5b17443338ad0c8c3509746aa,Cibes/A5000 Set-up Without Pressing Alarm.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Cibes/A5000 Set-up Without Pressing Alarm.pdf,organized_or_recovered
Cibes,Cibes Lift A 5000 Trouble shooting and Wiring Diagram.pdf,.pdf,2851964,71be9545fe41142b5a1f8b85dd68132f5fc86b75,Cibes/Cibes Lift A 5000 Trouble shooting and Wiring Diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Cibes/Cibes Lift A 5000 Trouble shooting and Wiring Diagram.pdf,organized_or_recovered
Company,COMPANY  SOFTSTART V2 ESQUEMA - COMPANY HY.jpg,.jpg,205959,935876458dc3a30e0f74e37bfea5b52cb6d0aa61,Company/COMPANY  SOFTSTART V2 ESQUEMA - COMPANY HY.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Company/COMPANY  SOFTSTART V2 ESQUEMA - COMPANY HY.jpg,organized_or_recovered
Company,COMPANY ESQUEMA - COMPANY.pdf,.pdf,6918162,6e802c0d49a03e7da738047a35a31818ea6651ed,Company/COMPANY ESQUEMA - COMPANY.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Company/COMPANY ESQUEMA - COMPANY.pdf,organized_or_recovered
Company,COMPANY VF ESQUEMA - COMPANY VF.pdf,.pdf,4954200,8472c91675c5fddad79bcbfaa3cd21db246b3d6c,Company/COMPANY VF ESQUEMA - COMPANY VF.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Company/COMPANY VF ESQUEMA - COMPANY VF.pdf,organized_or_recovered
Concord,Concord Electrical Drawings.pdf,.pdf,733922,d74e4bb7482cd5f29f5d2503cd5f63966236a8dd,Concord/Concord Electrical Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Concord/Concord Electrical Drawings.pdf,organized_or_recovered
Diplomat,DIPLOMAT DN 2V ESQ - DIPLOMAT.tif,.tif,161588,2faf6728ae4bb117ef6a3eebe92a204fe36cc5a3,Diplomat/DIPLOMAT DN 2V ESQ - DIPLOMAT.tif,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Diplomat/DIPLOMAT DN 2V ESQ - DIPLOMAT.tif,organized_or_recovered
Diplomat,DIPLOMAT HY ESQ - DIPLOMAT.pdf,.pdf,279893,5afdc8b88bd94ed967ba9dc10dba8bd5d57e9f6c,Diplomat/DIPLOMAT HY ESQ - DIPLOMAT.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Diplomat/DIPLOMAT HY ESQ - DIPLOMAT.pdf,organized_or_recovered
Elephante,Elephante BEG electrical drawings.pdf,.pdf,266758,fa2851f02a5af674d371024dd89416adf6955b7f,Elephante/Elephante BEG electrical drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Elephante/Elephante BEG electrical drawings.pdf,organized_or_recovered
Eninter,ENINTER AUTUR ESQUEMAS - ENINTER.pdf,.pdf,1080467,3565663659ce960cbb27503a30c19241b28a3aac,Eninter/ENINTER AUTUR ESQUEMAS - ENINTER.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Eninter/ENINTER AUTUR ESQUEMAS - ENINTER.pdf,organized_or_recovered
Excelsior,EXCELSIOR ESQUEMA - EXCELSIOR.pdf,.pdf,3541115,c4ae058fe364c856395f615fe1112fad235f397b,Excelsior/EXCELSIOR ESQUEMA - EXCELSIOR.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Excelsior/EXCELSIOR ESQUEMA - EXCELSIOR.pdf,organized_or_recovered
Excelsior,EXCELSIOR TOKI-BAT ESQUEMA - EXCELSIOR.pdf,.pdf,761569,eecf8733173983e56df94465bcb6e755dbd4bcce,Excelsior/EXCELSIOR TOKI-BAT ESQUEMA - EXCELSIOR.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Excelsior/EXCELSIOR TOKI-BAT ESQUEMA - EXCELSIOR.pdf,organized_or_recovered
Express,EHM2 circuit diagram symbols.pdf,.pdf,171311,1fe362151ad755c44b07e5cfe5ddef3ddc600472,Express/EHM2 circuit diagram symbols.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Express/EHM2 circuit diagram symbols.pdf,organized_or_recovered
Express,Express DC2 Electrical Drawings.pdf,.pdf,312759,b0d3831cca84458cc81c903a252d1cdbfc048780,Express/Express DC2 Electrical Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Express/Express DC2 Electrical Drawings.pdf,organized_or_recovered
Express,Express Evans Hydraulic Electrical Drawings.pdf,.pdf,281934,8367650a35ad193215d60cd0ecb85f17c4764644,Express/Express Evans Hydraulic Electrical Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Express/Express Evans Hydraulic Electrical Drawings.pdf,organized_or_recovered
FAIN,FAIN FOTOCELULA ESQ - FAIN.pdf,.pdf,40460,cf985331a80109eb339feeb742bec3318500cc27,FAIN/FAIN FOTOCELULA ESQ - FAIN.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/FAIN/FAIN FOTOCELULA ESQ - FAIN.pdf,organized_or_recovered
FAIN,FAIN HUIDA CORTA ESQ - FAIN.pdf,.pdf,149822,1351b694a3998206ad66b353ac27db4b43069399,FAIN/FAIN HUIDA CORTA ESQ - FAIN.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/FAIN/FAIN HUIDA CORTA ESQ - FAIN.pdf,organized_or_recovered
GMV,2.Esquema HD.pdf,.pdf,83877,41d98626bb6de90b606af22a67fd1b2882316097,GMV/2.Esquema HD.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/2.Esquema HD.pdf,organized_or_recovered
GMV,ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf,.pdf,827565,205480d628e4819c9ea66bdb134c35d83200a2a6,GMV/ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf,organized_or_recovered
GMV,Esquema S0302.pdf,.pdf,4038116,e5f1020dc16eb2287cf553e876f4bfb0fd89b790,GMV/Esquema S0302.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Esquema S0302.pdf,organized_or_recovered
GMV,GMV Hydraulic Diagram.pdf,.pdf,374361,3bf64f1ac10d9a048557c3c9a6d045ec484db8ab,GMV/GMV Hydraulic Diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/GMV Hydraulic Diagram.pdf,organized_or_recovered
GMV,GMV Hydraulic Diagram__dup1.pdf,.pdf,374361,9a40a03341a92f257223213c07f969f49dd95f02,GMV/GMV Hydraulic Diagram__dup1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/GMV Hydraulic Diagram__dup1.pdf,duplicate_variant
GMV,Loom.pdf,.pdf,636742,22ef38e64f85adb484a7e30d000b76a0604e85f8,GMV/Loom.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom.pdf,organized_or_recovered
GMV,Loom__dup1.pdf,.pdf,636776,9ebb113ebeb77d47f55047ffc16af5dc11a019d7,GMV/Loom__dup1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom__dup1.pdf,duplicate_variant
GMV,Loom__fromdup1.pdf,.pdf,636742,22ef38e64f85adb484a7e30d000b76a0604e85f8,GMV/Loom__fromdup1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom__fromdup1.pdf,recovered_from_duplicates
GMV,Loom__fromdup2.pdf,.pdf,636776,9ebb113ebeb77d47f55047ffc16af5dc11a019d7,GMV/Loom__fromdup2.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom__fromdup2.pdf,recovered_from_duplicates
GMV,Micro Mivelação Esquema Electrico gb04_002.pdf,.pdf,32484,d2f689c4856bf4f47bb8b384bdebd091bb397d29,GMV/Micro Mivelação Esquema Electrico gb04_002.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Micro Mivelação Esquema Electrico gb04_002.pdf,organized_or_recovered
GMV,PVLH 3 phase Controller Wiring.pdf,.pdf,113965,96386afb630afc421af75c6fb1758eb0430bafd1,GMV/PVLH 3 phase Controller Wiring.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/PVLH 3 phase Controller Wiring.pdf,organized_or_recovered
GMV,Wiring.pdf,.pdf,150666,facb99f66fbd2b3b718409fc4f26cf3708ec835b,GMV/Wiring.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring.pdf,organized_or_recovered
GMV,Wiring__dup1.pdf,.pdf,153032,1307a34798648e2deb8b65ddc3cd0bf417e5d7dd,GMV/Wiring__dup1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__dup1.pdf,duplicate_variant
GMV,Wiring__fromdup1.pdf,.pdf,153032,1307a34798648e2deb8b65ddc3cd0bf417e5d7dd,GMV/Wiring__fromdup1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__fromdup1.pdf,recovered_from_duplicates
GMV,Wiring__fromdup2.pdf,.pdf,150666,facb99f66fbd2b3b718409fc4f26cf3708ec835b,GMV/Wiring__fromdup2.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__fromdup2.pdf,recovered_from_duplicates
Galaxy,Galaxy-esq. 001.jpg,.jpg,325306,fd6fab59e1d0ef0f8d5451190e676510c6f04695,Galaxy/Galaxy-esq. 001.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 001.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 002.jpg,.jpg,318123,14e1ceffa1c5e26c6526b00b77db6172e292c981,Galaxy/Galaxy-esq. 002.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 002.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 003.jpg,.jpg,213925,90c72ed381c968017ac7c747c3c27d2c30598909,Galaxy/Galaxy-esq. 003.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 003.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 004.jpg,.jpg,200715,8caea961828dcbcf7d240e6ca84551e4074c43e8,Galaxy/Galaxy-esq. 004.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 004.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 005.jpg,.jpg,167864,e9ce804b2319e8fde1a03e78d641511aeb9bcdb5,Galaxy/Galaxy-esq. 005.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 005.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 006.jpg,.jpg,228211,041570719cc53b7aa8669de14500d8632637b26e,Galaxy/Galaxy-esq. 006.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 006.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 007.jpg,.jpg,265534,88b06a3a5d9eba2d5bf12d6ea8eaae9e41529ab7,Galaxy/Galaxy-esq. 007.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 007.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 008.jpg,.jpg,345765,52c8f3ba9d81c79024106a23021a3c48f76cd7a2,Galaxy/Galaxy-esq. 008.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 008.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 009.jpg,.jpg,167359,119848730e1b25c073ddb048743d23f0d420644e,Galaxy/Galaxy-esq. 009.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 009.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 010.jpg,.jpg,176183,fd63892e732fb630a4c0f94ee3afbb816c1f3aed,Galaxy/Galaxy-esq. 010.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 010.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 011.jpg,.jpg,409569,a58ff855ac22f3da65250d5072281e2aa0de7e8e,Galaxy/Galaxy-esq. 011.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 011.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 012.jpg,.jpg,393954,b9efd78be701302121168196804055d2dd95d940,Galaxy/Galaxy-esq. 012.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 012.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 013.jpg,.jpg,353423,7fc7ecb3c6c76544ec1ecaea7e21d46073d70521,Galaxy/Galaxy-esq. 013.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 013.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 014.jpg,.jpg,248202,31fee90bad55b2c1fd8bcc2ae48bcedeb3580d2a,Galaxy/Galaxy-esq. 014.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 014.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 015.jpg,.jpg,345971,e072f2a75cc904259413ab8472d0502e13f6b553,Galaxy/Galaxy-esq. 015.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 015.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 016.jpg,.jpg,292946,19360fe2bf3feddac13f45bfe4063c8c30faf940,Galaxy/Galaxy-esq. 016.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 016.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 017.jpg,.jpg,359777,04ae5630ec4825992a3bdd6c1bda384448febedb,Galaxy/Galaxy-esq. 017.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 017.jpg,organized_or_recovered
Galaxy,Galaxy-esq. 018.jpg,.jpg,147664,1800cded5530c2370c669c870d9d4ee16d7fbdc8,Galaxy/Galaxy-esq. 018.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq. 018.jpg,organized_or_recovered
Galaxy,Galaxy-esq..jpg,.jpg,203371,b3847483fc795ad40cb53a065f7b283df28e4dda,Galaxy/Galaxy-esq..jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-esq..jpg,organized_or_recovered
Galaxy,Galaxy-nom 003.jpg,.jpg,401169,c3f8740ea31f24194a1c988e9bb1d4224d1e0829,Galaxy/Galaxy-nom 003.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Galaxy/Galaxy-nom 003.jpg,organized_or_recovered
Genie,Genie ADV Electrical Drawing (Power).pdf,.pdf,524575,23efca3483b2964b3d8b41e89c08cdd652963cf5,Genie/Genie ADV Electrical Drawing (Power).pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Genie/Genie ADV Electrical Drawing (Power).pdf,organized_or_recovered
Genie,Genie ADV Electrical Drawings.pdf,.pdf,554594,92c48217f5975bb4b400998f76bc9ad632666ed1,Genie/Genie ADV Electrical Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Genie/Genie ADV Electrical Drawings.pdf,organized_or_recovered
