source_relative_path,target_relative_path,bucket,brand,score,doc_type,theme,suggested_title,rationale
Documentacao Tecnica/Kone/Kone - KDL Harness.xlsx,review/Kone/KDL Harness.xlsx,review,Kone,5,Datasheet,KDL harness,KDL Harness,"high=wiring,pinout; medium=connection"
Documentacao Tecnica/Kone/Kone - LP1000 setting up.pdf,high_confidence/Kone/LP1000 Setting Instructions and Electrical Drawings.pdf,high_confidence,Kone,8,Manual,Lifting platform setup and electrical drawings,LP1000 Setting Instructions and Electrical Drawings,"high=electrical drawing,electrical drawings; medium=electrical,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/Kone - Stannah 260 Drawings.pdf,high_confidence/Kone/Stannah 260 Drawings.pdf,high_confidence,Kone,16,Wiring Diagram,Stannah 260,Stannah 260 Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/Kone - TMS 50 Dwgs.pdf,high_confidence/Kone/TMS 50 Drawings.pdf,high_confidence,Kone,18,Wiring Diagram,TMS 50,TMS 50 Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup100.jpg,high_confidence/Kone/KONE Signal Input Connector Diagram.jpg,high_confidence,Kone,18,Wiring Diagram,Signal/IO Connector Pinout,KONE Signal Input Connector Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,connector diagram,pinout; medium=diagram,io connector,signal input; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup101.jpg,high_confidence/Kone/KONE F2KMUL Connector Layout.jpg,high_confidence,Kone,17,Wiring Diagram,Signal/IO Connector Pinout,KONE F2KMUL Connector Layout,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,pinout; medium=diagram,io connector; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup109.jpg,high_confidence/Kone/KONE MonoSpace 2 1 Power Supply and Safety Circuit Connections.jpg,high_confidence,Kone,19,Wiring Diagram,Electrical connections / power supply,KONE MonoSpace 2.1 Power Supply and Safety Circuit Connections,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,pinout; medium=electrical,diagram,circuit,connection; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup116.jpg,review/Kone/MonoSpace 2 5 Installation Instructions - Telephone Line Connection.jpg,review,Kone,4,Manual,Telephone line connection,MonoSpace 2.5 Installation Instructions – Telephone Line Connection,high=wiring; medium=connection; doc_suffix
Documentacao Tecnica/Kone/Kone - cover dup16.jpg,high_confidence/Kone/Kone - cover dup16.jpg,high_confidence,Kone,17,Wiring Diagram,Drive electronics / wiring,SNOLLDANNOD / Drive Control Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup32.jpg,high_confidence/Kone/Electrical Diagram for Star - Delta Control.jpg,high_confidence,Kone,17,Wiring Diagram,Electrical schematic,Electrical Diagram for Star-Delta Control,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup87.jpg,high_confidence/Kone/Machine Room and Shaft Wiring Diagrams.jpg,high_confidence,Kone,15,Wiring Diagram,Wiring diagrams,Machine Room and Shaft Wiring Diagrams,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup93.jpg,high_confidence/Kone/MonoSpace Special Shaft Electrification Wiring Instructions.jpg,high_confidence,Kone,8,Manual,Field wiring layout,MonoSpace Special Shaft Electrification Wiring Instructions,"high=wiring,field wiring,wiring instructions; medium=connection; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup97.jpg,high_confidence/Kone/KONE Minispace Power Supply Circuit Diagram.jpg,high_confidence,Kone,17,Wiring Diagram,Power Wiring,KONE Minispace Power Supply Circuit Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,power supply circuit; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Kone/Kone - cover dup98.jpg,high_confidence/Kone/KONE Machine Room Cable Diagram.jpg,high_confidence,Kone,15,Wiring Diagram,Machine Room Wiring,KONE Machine Room Cable Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Kone/Kone 516 Electrical Drawings.pdf,high_confidence/Kone/516 Electrical Drawings.pdf,high_confidence,Kone,19,Wiring Diagram,Electrical drawings,516 Electrical Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,electrical drawings,wiring; medium=electrical,diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/Kone Elecomp TMS100 Electrical Drawings.pdf,high_confidence/Kone/TMS100 Electrical Drawings.pdf,high_confidence,Kone,19,Wiring Diagram,TMS100 electrical drawings,TMS100 Electrical Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,electrical drawings,wiring; medium=electrical,diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/Kone TMS50 Electrical Drawings.pdf,high_confidence/Kone/TMS50 Electrical Drawings.pdf,high_confidence,Kone,19,Wiring Diagram,TMS50 wiring,TMS50 Electrical Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,electrical drawings,wiring; medium=electrical,diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Orona/0451153 - Orona Rescue system with Rescatamac board.tif,high_confidence/Orona/Orona Rescue System with Rescatamac Board.tif,high_confidence,Orona,16,Wiring Diagram,Rescue System,Orona Rescue System with Rescatamac Board,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/ORONA MICRORELES ESQ II - ORONA RELES.pdf,high_confidence/Orona/Microrelays Wiring Diagram.pdf,high_confidence,Orona,17,Wiring Diagram,Relay logic / microrelays,Microrelays Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/ORONA RELES 1 2 V ESQ - ORONA RELES.pdf,high_confidence/Orona/1 - 2V Relay Wiring Diagram.pdf,high_confidence,Orona,16,Wiring Diagram,Relay logic / 1-2V control,1-2V Relay Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/ORONA RELES 2V PA ESQ - ORONA RELES.jpg,high_confidence/Orona/Orona Relay - Based Control Diagram.jpg,high_confidence,Orona,14,Wiring Diagram,Control Logic,Orona Relay-Based Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/ORONA RELES 4004A 4005A ESQ - ORONA RELES.pdf,high_confidence/Orona/4004A - 4005A Relay Wiring Diagram.pdf,high_confidence,Orona,16,Wiring Diagram,Relay logic / 4004A-4005A,4004A-4005A Relay Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/ORONA RELES 4008 ESQ - ORONA RELES.pdf,high_confidence/Orona/4008 Relay Wiring Diagram.pdf,high_confidence,Orona,16,Wiring Diagram,Relay logic / 4008,4008 Relay Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/ORONA UP 870 ESQ 01 - ORONA UP.pdf,high_confidence/Orona/UP 870 ESQ 01 Wiring Diagram.pdf,high_confidence,Orona,17,Wiring Diagram,UP 870 control system,UP 870 ESQ 01 Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/ORONA UP 870 ESQ 02 - ORONA UP.pdf,high_confidence/Orona/UP 870 ESQ 02 Wiring Diagram.pdf,high_confidence,Orona,17,Wiring Diagram,UP 870 control system,UP 870 ESQ 02 Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/ORONA UP 870 MULTIPLEX - ORONA UP.pdf,high_confidence/Orona/UP 870 Multiplex Wiring Diagram.pdf,high_confidence,Orona,16,Wiring Diagram,UP 870 control system,UP 870 Multiplex Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451100 - Power electr drawing 2 speeds lift.tif,high_confidence/Orona/Orona 2 - Speed Lift Power Wiring Diagram.tif,high_confidence,Orona,17,Wiring Diagram,2-Speed Lift Power Wiring,Orona 2-Speed Lift Power Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451101 - Power electr drawing 2 speeds lift with Rescatamac.tif,high_confidence/Orona/Orona 2 - Speed Lift Power Wiring Diagram with Rescatamac.tif,high_confidence,Orona,14,Wiring Diagram,2-Speed Lift Power Wiring with Rescue,Orona 2-Speed Lift Power Wiring Diagram with Rescatamac,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451102 - Power electr drawing V3F - OL - CL.tif,high_confidence/Orona/Orona V3F - OL CL Power Wiring Diagram.tif,high_confidence,Orona,16,Wiring Diagram,V3F Drive Power Wiring,Orona V3F-OL/CL Power Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451103 - Power electr drawing V3F - OL - CL with Rescatamac.tif,high_confidence/Orona/Orona V3F - OL CL Power Wiring Diagram with Rescatamac.tif,high_confidence,Orona,16,Wiring Diagram,V3F Drive Power Wiring with Rescue,Orona V3F-OL/CL Power Wiring Diagram with Rescatamac,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451104 - Power electr drawing M322 2 speeds.tif,high_confidence/Orona/M322 Power Electrical Drawing 2 Speeds.tif,high_confidence,Orona,18,Wiring Diagram,Power wiring diagram,"M322 Power Electrical Drawing, 2 Speeds","doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,wiring; medium=electrical,diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451105 - Power electr drawing M322 2 speeds with Rescatamac.tif,high_confidence/Orona/M322 Power Electrical Drawing 2 Speeds with Rescatamac.tif,high_confidence,Orona,17,Wiring Diagram,Power wiring diagram with Rescatamac,"M322 Power Electrical Drawing, 2 Speeds with Rescatamac","doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451108 - Safety chain M322 and mach top 2V.tif,high_confidence/Orona/M322 Safety Chain Machine Top 2V.tif,high_confidence,Orona,16,Wiring Diagram,Safety chain,"M322 Safety Chain, Machine Top, 2V","doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451110 - Safety chain mach room below 2 speeds.tif,high_confidence/Orona/Safety Chain Machine Room Below 2 Speeds.tif,high_confidence,Orona,16,Wiring Diagram,Safety chain,"Safety Chain, Machine Room Below, 2 Speeds","doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451111 - Safety chain mach room below V3F - OL - CL.tif,high_confidence/Orona/Safety Chain Machine Room Below V3F OL CL.tif,high_confidence,Orona,14,Wiring Diagram,Safety chain,"Safety Chain, Machine Room Below, V3F / OL / CL","doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451112 - Safety chain into the cabin for electr lift.tif,high_confidence/Orona/Safety Chain Into Cabin for Electric Lift.tif,high_confidence,Orona,14,Wiring Diagram,Cabin safety chain,Safety Chain Into Cabin for Electric Lift,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451113 - Lighting syst and alarm for lifts with machine room.tif,high_confidence/Orona/Lighting System and Alarm for Lifts with Machine Room.tif,high_confidence,Orona,15,Wiring Diagram,Lighting and alarm,Lighting System and Alarm for Lifts with Machine Room,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451115 - Cabin position display in landing door for M322.tif,high_confidence/Orona/Cabin Position Display in Landing Door M322.tif,high_confidence,Orona,14,Wiring Diagram,Cabin position display,"Cabin Position Display in Landing Door, M322","doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451116 - Pow elec draw for M322 or mach top V3F - OL Omron MV.tif,high_confidence/Orona/M322 Power Electrical Drawing V3F OL Omron MV.tif,high_confidence,Orona,17,Wiring Diagram,Power wiring diagram,"M322 Power Electrical Drawing, V3F / OL, Omron MV","doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451117 - Power elec drawing ControlTechniq Unidrive V3F - CL.tif,high_confidence/Orona/Control Techniques Unidrive V3F Power Electrical Drawing.tif,high_confidence,Orona,17,Wiring Diagram,Control drive wiring,Control Techniques Unidrive V3F Power Electrical Drawing,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451118 - Safety chain ControlTechniques Unidrive V3F - CL.tif,high_confidence/Orona/Control Techniques Unidrive V3F Safety Chain.tif,high_confidence,Orona,14,Wiring Diagram,Safety chain,Control Techniques Unidrive V3F Safety Chain,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451151 - Emergency pushbutton station connection.tif,high_confidence/Orona/Emergency Pushbutton Station Connection.tif,high_confidence,Orona,15,Wiring Diagram,Emergency pushbutton station,Emergency Pushbutton Station Connection,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451152 - Connection controllers group duplex triplex.tif,high_confidence/Orona/Group Controller Connections for Duplex and Triplex.tif,high_confidence,Orona,15,Wiring Diagram,Group controller connections,Group Controller Connections for Duplex and Triplex,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451154 - Anticip door opening 2 speeds lifts.tif,high_confidence/Orona/Anticipated Door Opening 2 - Speed Lifts.tif,high_confidence,Orona,14,Wiring Diagram,Door opening control,"Anticipated Door Opening, 2-Speed Lifts","doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451155 - Connection for three - phasic autotransform for M322.tif,high_confidence/Orona/Three - Phase Autotransformer Connection for M322.tif,high_confidence,Orona,15,Wiring Diagram,Autotransformer connection,Three-Phase Autotransformer Connection for M322,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451156 - Antic op and fine relevelling for M322 V3F - OL - CL.tif,high_confidence/Orona/M322 Anticipated Opening and Fine Relevelling V3F.tif,high_confidence,Orona,14,Wiring Diagram,Relevelling and door operation,"M322 Anticipated Opening and Fine Relevelling, V3F","doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 0451406 - Inspection push button connection for assembly.tif,review/Orona/Inspection Pushbutton Connection for Assembly.tif,review,Orona,5,Unknown,Inspection pushbutton wiring,Inspection Pushbutton Connection for Assembly,"high=wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - 160015.pdf,high_confidence/Orona/FLEXY MR KLEEMANN Controller.pdf,high_confidence,Orona,17,Wiring Diagram,Controller schematic,FLEXY MR KLEEMANN Controller,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 6000211.pdf,high_confidence/Orona/KTS Kleemann Controller Wiring.pdf,high_confidence,Orona,17,Wiring Diagram,Controller wiring diagram,KTS Kleemann Controller Wiring,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,circuit,controller wiring; doc_suffix"
Documentacao Tecnica/Orona/Orona - 7011607 - 01.jpg,high_confidence/Orona/Orona - 7011607 - 01.jpg,high_confidence,Orona,17,Wiring Diagram,Electrical schematic,Orona Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,electrical drawing,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - 701631.pdf,high_confidence/Orona/Atlas Hydraulic Lift Controller Wiring.pdf,high_confidence,Orona,16,Wiring Diagram,Controller wiring diagram,Atlas Hydraulic Lift Controller Wiring,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,controller wiring; doc_suffix"
Documentacao Tecnica/Orona/Orona - 701631WIR.pdf,high_confidence/Orona/Atlas Kleemann Prewired Installation.pdf,high_confidence,Orona,18,Wiring Diagram,Prewired installation,Atlas Kleemann Prewired Installation,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - 701632WIR.pdf,high_confidence/Orona/Atlas Kleemann Prewired Installation__dup1.pdf,high_confidence,Orona,18,Wiring Diagram,Prewired installation,Atlas Kleemann Prewired Installation,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - 702877WIR.pdf,high_confidence/Orona/LiSA Prewired Installation - Automatic Door Interface.pdf,high_confidence,Orona,15,Wiring Diagram,Automatic door interface,LiSA Prewired Installation - Automatic Door Interface,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,interface; doc_suffix"
Documentacao Tecnica/Orona/Orona - 702878WIR.pdf,high_confidence/Orona/LiSA Prewired Installation - Automatic Door Interface__dup1.pdf,high_confidence,Orona,18,Wiring Diagram,Automatic door interface,LiSA Prewired Installation - Automatic Door Interface,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram,interface; doc_suffix"
Documentacao Tecnica/Orona/Orona - Almega Direct to Floor Electrical Drawing.pdf,high_confidence/Orona/Almega Direct - to - Floor Electrical Drawing.pdf,high_confidence,Orona,17,Wiring Diagram,Direct-to-floor electrical system,Almega Direct-to-Floor Electrical Drawing,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - CL 7000 091207.pdf,high_confidence/Orona/CL 7000 Component List.pdf,high_confidence,Orona,14,Wiring Diagram,Wiring / component list,CL 7000 Component List,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - DIGITAL REFERENCE CARD.pdf,review/Orona/Digital Reference Card.pdf,review,Orona,5,Manual,Reference card / inverter accessory,Digital Reference Card,"high=wiring,wiring instructions; doc_suffix"
Documentacao Tecnica/Orona/Orona - ELECTRA VITORIA - P30D001.pdf,high_confidence/Orona/Electra Vitoria P30D001.pdf,high_confidence,Orona,17,Wiring Diagram,Electra Vitoria control system,Electra Vitoria P30D001,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - ELECTRA VITORIA PVLEB1951 - ELECTRA VITORIA.pdf,high_confidence/Orona/Electra Vitoria PVLEB1951 Wiring Diagram.pdf,high_confidence,Orona,14,Wiring Diagram,Electra Vitoria control wiring,Electra Vitoria PVLEB1951 Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - EM2000 ESQ 23000047 HY - EM2000.pdf,high_confidence/Orona/EM2000 ESQ 23000047 HY.pdf,high_confidence,Orona,16,Wiring Diagram,Hydraulic configuration,EM2000 ESQ 23000047 HY,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - Fermator.tif,high_confidence/Orona/Fermator Door Operator Wiring Diagram.tif,high_confidence,Orona,16,Wiring Diagram,Door operator wiring diagram,Fermator Door Operator Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - ILE VVF Electrical Drawings.pdf,high_confidence/Orona/Orona - ILE VVF Electrical Drawings.pdf,high_confidence,Orona,8,,,,"high=electrical drawing,electrical drawings; medium=electrical,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Orona/Orona - ILE0008MX 1.pdf,review/Orona/Orona - ILE0008MX 1.pdf,review,Orona,4,Unknown,Interface modules,Orona ILE0008MX,high=wiring; medium=interface; doc_suffix
Documentacao Tecnica/Orona/Orona - IMEM ELEC 15.pdf,high_confidence/Orona/IMEM ELEC 15.pdf,high_confidence,Orona,18,Wiring Diagram,IMEM electrical rescue wiring,IMEM ELEC 15,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM ELEC 2.pdf,high_confidence/Orona/IMEM ELEC 2.pdf,high_confidence,Orona,19,Wiring Diagram,IMEM electrical wiring set,IMEM ELEC 2,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,electrical drawings,wiring; medium=electrical,diagram,circuit,drawings; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM ELEC 3.pdf,high_confidence/Orona/IMEM ELEC 3.pdf,high_confidence,Orona,17,Wiring Diagram,IMEM electrical wiring set,IMEM ELEC 3,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM ELEC 4.pdf,high_confidence/Orona/IMEM ELEC 4.pdf,high_confidence,Orona,15,Wiring Diagram,IMEM electrical wiring set,IMEM ELEC 4,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM ELEC 5.pdf,high_confidence/Orona/IMEM ELEC 5.pdf,high_confidence,Orona,17,Wiring Diagram,IMEM electrical wiring set,IMEM ELEC 5,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM ELEC 6.pdf,high_confidence/Orona/IMEM ELEC 6.pdf,high_confidence,Orona,15,Wiring Diagram,IMEM electrical wiring set,IMEM ELEC 6,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
