confidence	brand	reason	rel	path	snippet
review	Schindler	content	Schindler/ACVF Comm.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Schindler/ACVF Comm.pdf	 Schindler Smart MRL 001 FIELD DOC ACVF commissioning procedure K609553 E 1.1 / 9942 
review	Schindler	content	Schindler/K609562E v2.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Schindler/K609562E v2.pdf	 Schindler Smart MRL FIELD DOC SEM – Smart Evacuation Module 
review	Schindler	content	Schindler/Schindler_TXGC_Diagnostics.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Schindler/Schindler_TXGC_Diagnostics.pdf	K604007: Diagnostics Miconic TX-GC / 10-GC INVENTIO AG DIAGNOSTICS © 01/1999
review	Schindler	content	Schindler/Sem.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Schindler/Sem.pdf	 Schindler Smart MRL FIELD DOC SEM – Smart Evacuation Module 
review	Schindler	content	Sem_Marca/K604016E_06.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/K604016E_06.pdf	 Miconic TX-GC/10-GC INVENTIO AG Commissioning K 604016 E / 06 1-11.220 
review	Sem_Marca	content	Fermator/FERMATOR INSTRUCCION MONTAJE PTAS CABINA - FERMATOR.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Fermator/FERMATOR INSTRUCCION MONTAJE PTAS CABINA - FERMATOR.pdf	AUTOMATIC DOORS FOR LIFTS INSTRUCCIONES DE MONTAJE Y REGULACIÓN DE PUERTAS DE CABINA CON OPERADOR MECÁNICO *ACMOM0* ACMOM0 INS-TEC-GC-30.11 V1 Rev.: 12.2006 AUTOMATIC DOORS FOR LIFTS ÍNDICE
review	Sem_Marca	content	Sem_Marca/02EQ-EN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/02EQ-EN.pdf	Preface Thank you for choosing DELTA’s high-performance VFD-E Series. The VFD-E Series is manufactured with high-quality components and materials and incorporate the latest microprocessor technology available. Getting Started This quick start will be helpful in the installation and paramet
review	Sem_Marca	content	Sem_Marca/450_10_80_06e.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/450_10_80_06e.pdf	Connecting cable DP for LRV-1 (A) 2.3.6E P 1/1 1. General descriptio
review	Sem_Marca	content	Sem_Marca/450_10_80_07e.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/450_10_80_07e.pdf	 2.3.7E Connection cable for UP/DOWN solenoid for LRV-1 (A) P 1/1 1. General Description 
review	Sem_Marca	content	Sem_Marca/543 VF (2).pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/543 VF (2).pdf	 Edicion 03 INSTRUCCIONES GENERALES DE INSTALACION DE: CUADROS DE MANIOBRA ELECTRONICOS SI1V1PLEXIDUPLEX PARA ASCENSORES 24 NIVELES. Ref. EDEL-543VF desde 5,5 CV a 25 CV 380 Vac. Ref. EDEL-543VF desde 5,5 CV a
review	Sem_Marca	content	Sem_Marca/Adaptacion 2vel a 3vf.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Adaptacion 2vel a 3vf.pdf	PROCEDIMIENTO DE ADAPTACIÓN DE UN CUADRO DE CONTROL DE DOS VELOCIDADES A UN CUADRO DE CONTROL VF 1.- Procedimiento 1.1.- Desconectar el hilo positivo del freno de maniobra y conectarlo al cuadro de control VF (borne F+E). A continuación conectar el hilo de positivo del freno de l 
review	Sem_Marca	content	Sem_Marca/Bucher L10-D Safety Valve.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Bucher L10-D Safety Valve.pdf	Installation and commissioning guide Issue: 05.07 Double Safety Valve L10−D Reference: 300−I−9010257−E−06/05.07 Classification: 450.325.340 1/16 Published Bucher Hydraulics AG Industriestrasse 15 CH−6345 Neuheim
review	Sem_Marca	content	Sem_Marca/BUCHER NTA-1.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/BUCHER NTA-1.pdf	LRV 175−1/350−1/700−1 Lift Control Valve NTA−1/NTA−2 Power Supply Unit and Delta Controller DELCON motion and progress 1/58 Classification: 450.10.10.01 
review	Sem_Marca	content	Sem_Marca/CORREDIÇA.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/CORREDIÇA.PDF	 HEATED SILL APPLICATION APPLICAZIONE SOGLIA RISCALDATA ANBRINGUNG VON BEHEIZTER SCHWELLE APPLICATION SEUIL CHAUFFÉ STAINL
review	Sem_Marca	content	Sem_Marca/CTA__dup1.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/CTA__dup1.pdf	W~[R1~~(Q)[M ~~~~~(Q)~ INDICE VERSION ESPANOLA ..................................................................................................................1 INDICE .............................................................................................................................
review	Sem_Marca	content	Sem_Marca/D__BYDIVI~1_LOC_ARS_42_151~1[1].pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/D__BYDIVI~1_LOC_ARS_42_151~1[1].pdf	 1 GENERAL INFORMATION ..............................................................................................................................................6 1.
review	Sem_Marca	content	Sem_Marca/ECO.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/ECO.PDF	 INSTRUCTION HANDBOOK FOR CONTROLLER LIBRETTO D’ISTRUZIONI D’USO PER REGOLATORE FOLLETO DE INSTRUCCIONES DEL CONTROLADOR BEDIENUNGSANLEITUNG FÜR TÜRMOTORREGLER LIVRET D’INSTRUCTIONS POUR REGULATEUR INSTRUCTIEBOEKJE ECO 
review	Sem_Marca	content	Sem_Marca/EE312-06.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/EE312-06.pdf	 LEYENDA KEY LEGENDE OPCIONES OPTIONS OPTIONS 1. ALIMEN. MOTOR Y ARRANQUE SUPPLY OF
review	Sem_Marca	content	Sem_Marca/ELENOR COD ERROR RHMKI - ELENOR.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/ELENOR COD ERROR RHMKI - ELENOR.pdf	,.---- -_." .. _----.----..".--~._,~.----~-_.-- ... ~.,--". _._-,-~~. --,,_.. ~ -" - - -------_.---_... ---~._._._-_. 
review	Sem_Marca	content	Sem_Marca/FAIN  GUIA ZETADYN - FAIN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/FAIN  GUIA ZETADYN - FAIN.pdf	 GUIA BASICA DE PROGRAMACION PARA VARIADOR ZETADYN CON 
review	Sem_Marca	content	Sem_Marca/Ficha Técnica.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Ficha Técnica.pdf	 123456789012345678901234567890 123456789012345678901234567890 123456789012345678901234567890 1234567890123456789012345678
review	Sem_Marca	content	Sem_Marca/FRENIC VVVF.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/FRENIC VVVF.pdf	Starting guide for G11S-UDP Synchronous motor software Date _ revision 14/12/05_4 1 Intro G11S-UDP is based on Fuji inverter type “G11S-EN” but with firmware including parameters specifics for elevator appli
review	Sem_Marca	content	Sem_Marca/FU-CO-001.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/FU-CO-001.PDF	<< Back @ TECHNICAL BULLETIN Bulletin Number FU-CO-001 P.L.C. CONTROL PANELS TELEMECH
review	Sem_Marca	content	Sem_Marca/Ha470588.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Ha470588.pdf	 '\QDPLF%UDNH&RQWDFWRU2SWLRQ Application The 590+ DRV frames 1 and 2 are equipped with an AC (line-side) contactor. For dynamic braking applications, you will need a braking resistor and this kit to connect the resistor across the motor terminals. Use the following table to s
review	Sem_Marca	content	Sem_Marca/Ha470595.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Ha470595.pdf	 $UPDWXUH'&&RQWDFWRU2SWLRQ Application The 590+ DRV frames 1 and 2 are equipped with an AC (line-side) contactor that isolates the three-phase supply to the drive when the drive is stopped. The Armature DC Contactor Option may be used if physical isolation is required between th
review	Sem_Marca	content	Sem_Marca/Harmonics in AC drives.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Harmonics in AC drives.pdf	Technical Guide No. 6 Guide to Harmonics with AC Drives 2 Technical Guide No.6 - Guide to Harmonics with AC Drives Contents 1. Introduction ....................................
review	Sem_Marca	content	Sem_Marca/HIDRAL DH PS-540 - HIDRAL DH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL DH PS-540 - HIDRAL DH.pdf	 PS - 540 PUESTA EN SERVICIO 
review	Sem_Marca	content	Sem_Marca/HIDRAL EH PS-300 - HIDRAL EH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL EH PS-300 - HIDRAL EH.pdf	 PS-300 HOJA DE PUESTA EN SERVICIO 
review	Sem_Marca	content	Sem_Marca/HIDRAL MEH3 ELEC - HIDRAL MEH3.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL MEH3 ELEC - HIDRAL MEH3.pdf	 Curso formación EH Pol. Ind. EL PINO Parc. 1 13 E 41016 Sevilla. ESPAÑA Fecha:29/04/10 Tlfno.: 
review	Sem_Marca	content	Sem_Marca/HIDRAL MH IM-510 - HIDRAL MH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL MH IM-510 - HIDRAL MH.pdf	 INSTRUCCIONES DE MONTAJE MINI-CARGAS MH HIDRÁULICO PARA FIJACIÓN A MURO INDICE - Útiles y Herramientas. Pág. 1 - Preparación de Obra y Proceso de Montaje sobre Muro. 
review	Sem_Marca	content	Sem_Marca/HIDRAL MH IM-511 - HIDRAL MH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL MH IM-511 - HIDRAL MH.pdf	 INSTRUCCIONES DE MONTAJE MINI-CARGAS MH HIDRÁULICO CON ESTRUCTURA AUTOPORTANTE INDICE - Dimensiones de Montaje. Alzado. Pág. 1 - Dimensiones de Montaje. Planta. Pág. 2 - Montaje de la Estructura Por
review	Sem_Marca	content	Sem_Marca/HIDRAL MH PS-511 - HIDRAL MH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL MH PS-511 - HIDRAL MH.pdf	 VERIFICACIONES EN CUARTO DE MAQUINAS (Central y cuadro) Marcar " X " si es correcto MINICARGAS HIDRÁULICO EMPRESA 
review	Sem_Marca	content	Sem_Marca/HIDRAL MH PS-512 - HIDRAL MH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL MH PS-512 - HIDRAL MH.pdf	 VERIFICACIONES EN CUARTO DE MAQUINAS (Central y cuadro) Marcar " X " si es correcto MINICARGAS ELÉCTRICO EMPRESA 
review	Sem_Marca	content	Sem_Marca/HIDRAL MTH PS-530 - HIDRAL MTH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL MTH PS-530 - HIDRAL MTH.pdf	 VERIFICACIONES EN CUARTO DE MAQUINAS (Central y cuadro) Marcar " X " si es correcto MINICARGAS MTH EMPRESA 
review	Sem_Marca	content	Sem_Marca/HIDRAL PS-360 - HIDRAL.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL PS-360 - HIDRAL.pdf	 VERIFICACIONES EN CUARTO DE MAQUINAS (Central y cuadro) Marcar " X " si es correcto MESAS ELEVADORAS EMPRESA 
review	Sem_Marca	content	Sem_Marca/HIDRAL SHV PS-521 - HIDRAL SHV.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL SHV PS-521 - HIDRAL SHV.pdf	 VERIFICACIONES EN CUARTO DE MAQUINAS (Central y cuadro) Marcar " X " si es correcto SALVAESCALERAS VERTICAL EMPRESA 
review	Sem_Marca	content	Sem_Marca/HIDRAL THX IM-360 - HIDRAL TX.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL THX IM-360 - HIDRAL TX.pdf	INSTRUCCIONES DE MONTAJE PLATAFORMAS DE TIJERA THX, THXX INDICE: 1. Montaje Mecánico: 1.1 Suministro, preparación del foso . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Pag. 1 1.2 Instalación de la plataforma en el foso . . . . . . . . . . . . . . .
review	Sem_Marca	content	Sem_Marca/HIDRAL UH PS-401 - HIDRAL UH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL UH PS-401 - HIDRAL UH.pdf	 VERIFICACIONES EN CUARTO DE MAQUINAS Marcar " X " si es correcto ASCENSOR UNIFAMILIAR UH EMPRESA 
review	Sem_Marca	content	Sem_Marca/How to maintain a Drive.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/How to maintain a Drive.pdf	How To Maintain a VFD By: Dave Polka Training Notes Do you know how to maintain Variable Frequency Drives (VFDs)? Doing so is easier than you might think. By integrating some simple, logical steps into your preventative maintenance program, yo
review	Sem_Marca	content	Sem_Marca/J194699_R41.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/J194699_R41.pdf	1. PROCEDURE OF CREATING COMMISSION SCHEMATICS .....................................................................................1 2. SCHEMATICS SELECTION TABLE................................................................................................................................
review	Sem_Marca	content	Sem_Marca/J387254_01_Commissioning.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/J387254_01_Commissioning.pdf	 COMMISSIONING Automatic Evacuation Device for MX-GC J 38
review	Sem_Marca	content	Sem_Marca/J__41305271_RSE.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/J__41305271_RSE.PDF	 Installation and Maintenance Manual Retractable Safety Edge (RSE) Varidor 30AP Retractable Safety Edge 
review	Sem_Marca	name	Sem_Marca/Leitura_e_interpreta__o_de_esquemas.ppt	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Leitura_e_interpreta__o_de_esquemas.ppt	
review	Sem_Marca	content	Sem_Marca/LRV-175 + New Type Card.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/LRV-175 + New Type Card.pdf	LRV 175-1 / 350-1 / 700-1 Lift Control Valve NTA-1 Power Supply Unit and Delta Controller DELCON motion and progress 1/44 Classification: 450.10.10.01 R
review	Sem_Marca	content	Sem_Marca/MIDI SUPRA.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/MIDI SUPRA.PDF	 INSTRUCTION HANDBOOK FOR CONTROLLER LIBRETTO D’ISTRUZIONI D’USO PER REGOLATORE FOLLETO DE INSTRUCCIONES DEL CONTROLADOR BEDIENUNGSANLEITUNG FÜR TÜRMOTORREGLER LIVRET D’INSTRUCTIONS POUR REGULATEUR INSTRUCTIEBOEKJE MIDI/SUPRA 
review	Sem_Marca	content	Sem_Marca/prog displays 122 123 124 SP.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/prog displays 122 123 124 SP.pdf	Indicador de puntos rotativos (Documentación técnica) Versión de programa V1.00 INDICE 1. PRESENTACIÓN 3 2. CARACTERISTICAS 
review	Sem_Marca	content	Sem_Marca/PROTEÇÃO DOS DEDOS.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/PROTEÇÃO DOS DEDOS.PDF	PA TENT FINGER SAFETY DEVICE ED SISTEMA DI PROTEZIONE DELLE DITA SISTEMA DE PROTECCIÓN DE LOS DEDOS FINGERSCHUTZVORRICHTUNG “ANTI-TRAPPING” “ANTIPIZZICO” “APRISIONAMIENTO” 
review	Sem_Marca	content	Sem_Marca/Saturn A VF Inverter Driven.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Saturn A VF Inverter Driven.pdf	Bucher Hydraulics AG Neuheim Lift control valve VF-LRV 1.2.0E Saturn α 
review	Sem_Marca	content	Sem_Marca/SH.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/SH.pdf	 VERIFICACIONES EN CUARTO DE MAQUINAS (Central y cuadro) Marcar " X " si es correcto SALVAESCALERAS HIDRÁULICO EMPRESA 
review	TKE	content	Schindler/TLE028_2.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Schindler/TLE028_2.pdf	 << Index Thyssen Lifts & Escalators - Initial Lift Survey Site address: Lift ID: Date: By: 
review	TKE	content	TKE/CENIA COLECTIVA 2V - THYSSEN CENIA.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/CENIA COLECTIVA 2V - THYSSEN CENIA.pdf	 , , ] ", MANIOBRA COLECTIVA SELECTIVA CON MICROPROCESADORES = =­ ! -!-, L. L, :---j) " . L. ,J-, '1 -. 
review	TKE	content	TKE/DivA_S6.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/DivA_S6.pdf	Thyssen Lifts & Escalators << Contents Division A Section 6 - Page 1 of 3- Rev a Elect
review	TKE	content	TKE/gt-hy-013.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/gt-hy-013.pdf	<< Back @ Thyssen Lifts & Escalators 
review	TKE	content	TKE/IRC 32 INDICE.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/IRC 32 INDICE.pdf	 Instrucciones de regulación y control ThyssenKrupp Elevadores MANIOBRA ELECTRÓNICA SERIE -F 
review	TKE	content	TKE/MS_LW_01.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/MS_LW_01.pdf	A ThyssenKrupp Elevator division Thyssen Lifts & Escalators ThyssenKrupp company 
review	TKE	content	TKE/MS_LW_19.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/MS_LW_19.pdf	A ThyssenKrupp Elevator division Thyssen Lifts & Escalators ThyssenKrupp company 
review	TKE	content	TKE/MS_LW_22.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/MS_LW_22.pdf	A ThyssenKrupp Elevator division Thyssen Lifts & Escalators ThyssenKrupp company 
review	TKE	content	TKE/MS_LW_23.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/MS_LW_23.pdf	A ThyssenKrupp Elevator division Thyssen Lifts & Escalators ThyssenKrupp company 
review	TKE	content	TKE/MS_MR_43.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/MS_MR_43.pdf	A ThyssenKrupp Elevator division Thyssen Lifts & Escalators ThyssenKrupp company 
review	TKE	content	TKE/NT053-DE-Substituicao Modulo SR Placa MH3 - Manobra TCM-MC3.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/NT053-DE-Substituicao Modulo SR Placa MH3 - Manobra TCM-MC3.pdf	 ThyssenKrupp TK Elevadores NOTA TÉCNICA Assunto: Substituição do Modulo SR da Placa MH3 IDENT.: NT053 Manobra TCM-MC3 
review	TKE	content	TKE/Seguranças(2V)-2672.06.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/Seguranças(2V)-2672.06.pdf	 2 Instrucciones de regulación y control ThyssenKrupp Elevadores MANIOBRA CMC-3 
review	TKE	content	TKE/Seguranças(SCM 2V)-2672.44.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/Seguranças(SCM 2V)-2672.44.pdf	 2 Instrucciones de regulación y control ThyssenKrupp Elevadores MANIOBRA CMC-3 
review	TKE	content	TKE/ta-co-010.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/ta-co-010.PDF	<< Back @ Thyssen Lifts & Escalators Thys
review	TKE	content	TKE/THYSSEN CMC 4 IRC 44_02_1 DESCRIPCION PL - THYSSEN CMC 4.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/TKE/THYSSEN CMC 4 IRC 44_02_1 DESCRIPCION PL - THYSSEN CMC 4.pdf	 IRC INSTRUCCIONES DE REGULACIÓN Y CONTROL MANIOBRA CMC-4 IRC-44/02-1 Pág 1 de 12 DESCRIPCIÓN DE LA PLACA DE BORNAS “UBA”. Revisión: 00 (03/2009) Elaboración-Revisión: Dpto. Control Técnico. Apr
